id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
374	"houston, t. g."	-0.3283	1.1105	7	3	6	2
375	"howard, t. p."	0.8807	-0.1165	3	14	15	2
381	"huntingford, c."	0.1253	-0.2076	5	30	37	5
387	"ingram, w. j."	0.2649	0.0208	5	23	30	4
400	"jenkins, g. j."	0.9096	-0.1949	3	14	15	2
408	"jones, g. s."	0.0463	-0.4073	1	8	11	3
409	"jones, p. d."	-0.5525	0.5791	7	14	19	4
410	"jones, r. g."	0.3724	-0.0261	5	27	38	6
412	"jung, t."	-0.8077	0.2132	2	16	16	4
413	"jézéquel, a."	-0.192	0.1136	6	6	8	3
416	"karmalkar, a. v."	0.7788	-0.5026	3	8	14	3
417	"karoly, d. j."	0.0297	-0.29	5	13	14	4
424	"kay, a. l."	0.2091	0.1107	5	22	22	2
426	"keeley, s. p. e."	0.5106	0.9213	9	9	10	2
427	"keenlyside, n."	-0.6028	0.0189	2	11	11	2
428	"kelder, t."	0.6676	0.5064	4	10	15	3
430	"kendon, e. j."	1.1123	-0.2945	3	22	33	3
432	"kennedy, j. j."	-0.4394	0.6121	7	13	13	2
435	"kettleborough, j. a."	0.5405	-0.3988	3	12	16	2
436	"kew, s. f."	-0.0157	0.5723	6	10	20	2
443	"king, a. d."	-0.0938	0.3625	6	27	40	6
445	"king, m. p."	-0.684	0.0036	2	4	4	2
446	"kipling, z."	-0.9637	-0.3446	11	6	10	2
458	"knight, s."	0.533	-0.5118	3	15	21	2
460	"knutti, r."	-0.6409	-0.4205	8	16	21	6
465	"kosaka, y."	-0.1856	-0.1705	9	9	9	2
467	"kossin, j. p."	-0.5152	-0.2017	2	6	7	2
497	"leach, n. j."	0.3957	0.2733	5	10	17	4
504	"lehner, f."	-0.6194	-0.3123	8	5	5	2
505	"lenderink, g."	0.5853	0.4097	4	3	5	2
508	"lewis, s. c."	-0.4661	-0.1565	2	6	6	3
509	"li, c."	-0.7077	-0.5399	8	9	9	3
510	"li, j."	0.4289	0.3593	4	3	3	2
512	"li, s."	0.3169	0.3348	5	11	15	3
513	"lim, e."	-1.2167	0.5246	10	6	18	5
514	"lin, h."	0.7933	1.0047	9	2	4	2
520	"lloyd, e. a."	0.4102	-0.7477	2	3	6	5
522	"lo, y. t. e."	0.1035	-0.4798	1	11	13	3
528	"lott, f. c."	0.0958	0.4495	6	23	41	7
530	"lowe, j. a."	1.0049	-0.1417	3	30	37	6
539	"lüthi, d."	-0.7738	-0.1602	2	4	8	3
543	"madec, g."	0.1623	-0.8387	1	5	5	2
552	"maraun, d."	0.693	0.2998	4	13	13	3
556	"marjoribanks, t. i."	0.7881	0.5193	4	6	10	2
561	"martius, o."	0.5812	0.1254	4	17	18	3
563	"marvel, k."	-0.1005	-0.8064	1	7	8	3
